belongs_to_collection,count,mean,sum
Blade Collection,3,138366309.33333334,415098928.0
Bad Boys Collection,2,207373290.0,414746580.0
Kingsman Collection,1,414351546.0,414351546.0
Pacific Rim Collection,1,407602906.0,407602906.0
Jackass Collection,4,101529208.0,406116832.0
Pitch Perfect Collection,2,201428310.0,402856620.0
The Flintstones (Live-Action) Collection,2,200549741.5,401099483.0
Percy Jackson Collection,2,200537980.0,401075960.0
The Muppet Collection,6,66687400.166666664,400124401.0
Big Momma's House Collection,3,131944638.0,395833914.0
Zorro Collection,2,196344294.0,392688588.0
Basic Instinct Collection,2,195778351.0,391556702.0
Jump Street Collection,2,195013471.0,390026942.0
Jack Reacher Collection,2,190243335.5,380486671.0
Ghost Rider Collection,2,188977874.0,377955748.0
Beauty and the Beast Collection,1,377350553.0,377350553.0
Neighbors Collection,2,188457960.5,376915921.0
Planes Collection,2,185477249.5,370954499.0
... Has Fallen Collection,2,183390043.5,366780087.0
A Nightmare on Elm Street Collection,8,45448944.75,363591558.0
RoboCop Collection,4,88016587.0,352066348.0
The Mask Collection,1,351583407.0,351583407.0
Pocahontas Collection,1,346079773.0,346079773.0
Garfield Collection,2,171253399.0,342506798.0
The Jungle Book Collection,2,170761806.0,341523612.0
Kill Bill Collection,2,166554230.5,333108461.0
Bahubali Collection,2,165000000.0,330000000.0
Babe Collection,2,161633385.0,323266770.0
National Lampoon's Vacation Collection,5,64573744.2,322868721.0
Teenage Mutant Ninja Turtles (Original) Collection,3,107333333.33333333,322000000.0
Johnny English Collection,2,160330802.0,320661604.0
Ace Ventura Collection,2,159801464.5,319602929.0
Cheaper by the Dozen Collection,2,159696971.5,319393943.0
The Purge Collection,3,105566451.33333333,316699354.0
Hot Shots! Collection,2,157424494.5,314848989.0
The Transporter Collection,4,77676447.5,310705790.0
Police Academy Collection,7,43520462.428571425,304643237.0
Mulan Collection,1,304320254.0,304320254.0
Saturday Night Fever Collection,2,151002927.0,302005854.0
Van Helsing Collection,1,300257475.0,300257475.0
Look Who's Talking Collection,1,296000000.0,296000000.0
Blair Witch Collection,2,146586497.0,293172994.0
Mall Cop Collection,2,145445186.5,290890373.0
Magic Mike Collection,2,144867314.0,289734628.0
Sister Act Collection,2,144462089.5,288924179.0
Casper Collection,1,287928194.0,287928194.0
Predator Collection,3,93868226.33333333,281604679.0
"Honey, I Shrunk the Kids Collection",2,140693312.0,281386624.0
Ride Along Collection,2,139412567.5,278825135.0
We're the Millers Collection,1,269994119.0,269994119.0
The Vampire Chronicles,2,134571859.0,269143718.0
Bambi Collection,1,267447150.0,267447150.0
The Chronicles of Riddick Collection,3,89099229.0,267297687.0
Legally Blonde Collection,2,133344760.5,266689521.0
Beethoven Collection,2,132728557.5,265457115.0
Diary of a Wimpy Kid Collection,4,66337553.0,265350212.0
Anchorman Collection,2,132111601.5,264223203.0
Cinderella Collection,1,263591415.0,263591415.0
The Grudge Collection,3,87076150.0,261228450.0
Under Siege Collection,2,130443611.0,260887222.0
The Karate Kid Collection,4,65175702.25,260702809.0
The Princess Diaries Collection,2,130242294.0,260484588.0
John Wick Collection,2,130150774.0,260301548.0
Hellboy Collection,2,129853525.0,259707050.0
Wanted - Collection,1,258270008.0,258270008.0
The X-Files Collection,2,128783873.5,257567747.0
Annabelle Collection,1,255273813.0,255273813.0
The Nutty Professor Collection,2,126038645.0,252077290.0
Red Cliff Collection,2,124436917.0,248873834.0
Halloween Collection,8,30896007.0,247168056.0
Asterix and Obelix Collection,3,81890537.66666667,245671613.0
Marley & Me Collection,1,244082376.0,244082376.0
Daddy's Home Collection,1,242786137.0,242786137.0
Dirty Dancing Collection,2,120819645.0,241639290.0
Addams Family Collection,2,120210734.5,240421469.0
48 Hrs. Collection,2,116193741.0,232387482.0
Analyze Collection,2,115944396.5,231888793.0
Constantine Collection,1,230884728.0,230884728.0
Horrible Bosses Collection,2,112335178.5,224670357.0
Best Exotic Marigold Hotel Collection,2,111407211.0,222814422.0
The Little Mermaid Collection,1,222300000.0,222300000.0
Naked Gun Collection,3,72273062.0,216819186.0
101 Dalmatians (Animated) Collection,1,215880014.0,215880014.0
Nanny McPhee Collection,2,107868105.0,215736210.0
The Millennium Collection,3,71613014.33333333,214839043.0
Ip Man Collection,3,71577783.66666667,214733351.0
"Crouching Tiger, Hidden Dragon Collection",1,213525736.0,213525736.0
The Amityville Horror Collection,4,53336770.75,213347083.0
AVP Collection,2,106490464.5,212980929.0
Miss Congeniality Collection,1,212000000.0,212000000.0
Chili Palmer Collection,2,105163869.0,210327738.0
Anaconda Collection,2,103939332.5,207878665.0
Cats & Dogs Collection,2,102929457.5,205858915.0
Kindergarten Cop Collection,1,201957688.0,201957688.0
Insidious Collection,2,100656500.5,201313001.0
Smokey and the Bandit Collection,3,66183001.333333336,198549004.0
Sin City Collection,2,99070718.0,198141436.0
Open Season Collection,1,197309027.0,197309027.0
Peter Pan Collection,2,98633666.5,197267333.0
Grease Collection,2,98492623.0,196985246.0
Alex Cross Collection,3,65353222.0,196059666.0
Barbershop Collection,3,65294035.0,195882105.0
The Gremlins Collection,2,97282654.5,194565309.0
Wallace & Gromit Collection,1,192452832.0,192452832.0
Airport Collection,4,47626209.75,190504839.0
Hollow Man Collection,1,190213455.0,190213455.0
Dirty Harry Collection,4,47405673.25,189622693.0
Conan the Barbarian Collection,3,62020906.0,186062718.0
Atlantis Collection,1,186053725.0,186053725.0
Ouija Collection,2,92648008.5,185296017.0
Romancing the Stone Collection,2,91672719.0,183345438.0
Daddy Day Camp Collection,2,91315632.5,182631265.0
Hitman Collection,2,90966601.5,181933203.0
Porky's Collection,3,60002143.0,180006429.0
City Slickers Collection,1,179033791.0,179033791.0
Wall Street Collection,2,89298045.0,178596090.0
Poltergeist Collection,3,59113555.0,177340665.0
Mechanic Collection,2,88400221.0,176800442.0
Child's Play Collection,5,35204407.6,176022038.0
Fantasia Collection,2,87097285.0,174194570.0
Mortal Kombat Collection,2,86786390.5,173572781.0
Living Dead Collection,5,34227092.0,171135460.0
Wayne's World Collection,2,84831161.5,169662323.0
The Emperor's New Groove Collection,1,169327687.0,169327687.0
Think Like a Man Collection,2,83125967.5,166251935.0
The Sting Collection,2,82981699.5,165963399.0
Father of the Bride Collection,2,82952345.5,165904691.0
I Know What You Did Last Summer Collection,2,82794123.0,165588246.0
The Scorpion King Collection,1,165333180.0,165333180.0
The Pink Panther (Original) Collection,8,20559781.0,164478248.0
Beverly Hills Chihuahua Collection,2,80640803.0,161281606.0
Kick-Ass Collection,2,78444451.5,156888903.0
Elizabeth Collection,2,78194102.5,156388205.0
American Graffiti Collection,2,77507337.0,155014674.0
Recep İvedik Serisi,2,77425747.5,154851495.0
The Woman in Black Collection,2,77116029.5,154232059.0
Free Willy Collection,1,153698625.0,153698625.0
Silent Hill Collection,2,74955124.5,149910249.0
Dhoom Series,3,49798809.0,149396427.0
Surf's Up Collection,1,149044513.0,149044513.0
Dolphin Tale Collection,2,73914465.0,147828930.0
28 Days/Weeks Later Collection,2,73479162.5,146958325.0
Lilo & Stitch Collection,1,145771527.0,145771527.0
Shanghai Noon Collection,2,72627896.0,145255792.0
Clint Eastwood's Iwo Jima Collection,2,67286738.5,134573477.0
Species Collection,2,66269831.5,132539663.0
The Whole Nine/Ten Yards Collection,2,66263716.0,132527432.0
Shaft Collection,4,32694029.0,130776116.0
Sinister Collection,2,65297228.5,130594457.0
Keinohrhasen Filmreihe,2,65011723.5,130023447.0
Jingle All the Way Collection,1,129832389.0,129832389.0
The Blues Brothers Collection,2,64640637.0,129281274.0
Mean Girls Collection,1,129042871.0,129042871.0
Taxi Collection,3,42163875.333333336,126491626.0
Mexico Trilogy,3,41877315.666666664,125631947.0
Fievel Collection,2,62654021.5,125308043.0
Detective Dee Collection,2,62005534.0,124011068.0
Police Story Collection,3,41181422.666666664,123544268.0
Jeepers Creepers Collection,2,61160227.5,122320455.0
Friday Collection,3,40523360.333333336,121570081.0
Starship Troopers Collection,1,121214377.0,121214377.0
The Collector Collection,2,60421029.0,120842058.0
Cheech & Chong Collection,4,29985865.25,119943461.0
Road Trip Collection,1,119754278.0,119754278.0
Halloween (Rob Zombie Series) Collection,2,59837687.5,119675375.0
The Mighty Ducks Collection,3,39772614.666666664,119317844.0
One Piece Collection,2,59603536.5,119207073.0
The Rescuers Collection,2,59323665.0,118647330.0
The Saint Collection,1,118063304.0,118063304.0
Dennis the Menace Collection,1,117270765.0,117270765.0
Zoolander Collection,2,58374990.5,116749981.0
S.W.A.T. Collection,1,116643346.0,116643346.0
Hostel Collection,2,58099227.5,116198455.0
DragonHeart Collection,1,115267375.0,115267375.0
Why Did I Get Married Collection,2,57628658.5,115257317.0
Would I Lie to You? Collection,3,37693660.666666664,113080982.0
Rocky Horror Collection,1,112892319.0,112892319.0
Tooth Fairy Collection,1,112462508.0,112462508.0
Street Fighter,2,56093861.0,112187722.0
Dragon Ball Z (Movie) Collection,2,56060596.0,112121192.0
The Crow Collection,2,55958643.5,111917287.0
Urban Legend,2,55550978.5,111101957.0
The Dukes Of Hazzard Collection,1,110803676.0,110803676.0
Síť (kolekce),1,110627965.0,110627965.0
Airplane Collection,2,55302036.5,110604073.0
Cocoon Collection,2,55169021.5,110338043.0
Arthur Collection,2,55071437.0,110142874.0
The Space Odyssey Series,2,54550328.5,109100657.0
Death Note Collection,3,36244933.333333336,108734800.0
Arthur and the Invisibles Collection,1,107944236.0,107944236.0
The Omen Collection,3,35970905.666666664,107912717.0
Texas Chainsaw (Reboot) Collection,1,107071655.0,107071655.0
The Best Man Collection,2,53099487.5,106198975.0
The Cell Collection,1,104155843.0,104155843.0
Cannonball Run Collection,3,34445004.333333336,103335013.0
Harold & Kumar Collection,3,34272414.333333336,102817243.0
Rebuild of Evangelion,3,33957941.666666664,101873825.0
Timecop Collection,1,101646581.0,101646581.0
My Bloody Valentine Collection,1,100734718.0,100734718.0
Benvenuti al... Collection,2,50292339.5,100584679.0
Rugrats Collection,2,50245893.0,100491786.0
The Hunchback of Notre Dame Collection,1,100138851.0,100138851.0
Nim's Island Collection,1,100076342.0,100076342.0
The Fly Collection,2,49766169.0,99532338.0
The Are We Collection,1,97918663.0,97918663.0
Jarhead Collection,1,96889998.0,96889998.0
8MM Collection,1,96618699.0,96618699.0
The Butterfly Effect Collection,1,96060858.0,96060858.0
King Kong (1976 series),2,47662832.5,95325665.0
Fletch Collection,2,47381924.0,94763848.0
Bad Santa Collection,2,47135533.5,94271067.0
Lady and the Tramp Collection,1,93600000.0,93600000.0
Escape From ... Collection,2,46261032.5,92522065.0
Texas Chainsaw Massacre Collection,5,18415655.4,92078277.0
Behind Enemy Lines Collection,1,91753202.0,91753202.0
Piranha 3D Collection,2,45840946.5,91681893.0
White Noise Collection,1,91196419.0,91196419.0
Save The Last Dance Collection,1,91038276.0,91038276.0
Bring It On Collection,1,90449929.0,90449929.0
The Inbetweeners Collection,1,88025781.0,88025781.0
Deuce Bigalow Collection,2,43967610.5,87935221.0
Agent Cody Banks Collection,2,43807404.5,87614809.0
Death Wish Collection,4,21411891.25,85647565.0
Final Fantasy Collection,2,42700905.0,85401810.0
The Poseidon Adventure Collection,1,84563118.0,84563118.0
The Land Before Time Collection,1,84460846.0,84460846.0
Major League Collection,3,27998591.0,83995773.0
Power Rangers Collection,2,41989869.5,83979739.0
The Sisterhood of the Traveling Pants Collection,2,41702739.0,83405478.0
Planet of the Apes Original Collection,5,16657728.8,83288644.0
Doraemon Collection,1,83061158.0,83061158.0
"F*ck You, Goethe Collection",1,83027924.0,83027924.0
The Last Exorcism Collection,2,41458696.0,82917392.0
Psycho Collection,3,27068868.666666668,81206606.0
Vampires Suck Collection,1,80547866.0,80547866.0
Wolf Warriors Collection,1,80000000.0,80000000.0
WarGames Collection,1,79567667.0,79567667.0
K-9 Collection,1,78247647.0,78247647.0
The Haunting in Connecticut Collection,1,77527732.0,77527732.0
Crank Collection,2,38745809.0,77491618.0
Hot Tub Time Machine Collection,2,38443456.5,76886913.0
Cruel Intentions Collection,1,75902208.0,75902208.0
The Pink Panther (Steve Martin) Collection,1,75871032.0,75871032.0
Stomp the Yard Collection,1,75511123.0,75511123.0
30 Days of Night Collection,1,75505973.0,75505973.0
Pet Sematary Collection,2,37280960.0,74561920.0
Hard Target Collection,1,74189677.0,74189677.0
Highlander Collection,4,18524987.0,74099948.0
Death Race Collection,1,73762516.0,73762516.0
Mirrors Collection,1,72436439.0,72436439.0
RED Collection,1,71664962.0,71664962.0
World of Watches Collection,2,35431358.5,70862717.0
Philo & Clyde Collection,2,35343714.5,70687429.0
Cinderella Story Collection,1,70067909.0,70067909.0
Curious George Collection,1,69834815.0,69834815.0
Splash Collection,1,69821334.0,69821334.0
Without a Paddle Collection,1,69631118.0,69631118.0
The Hills Have Eyes (Reboot) Collection,1,69623713.0,69623713.0
Wild Things Collection,1,67200000.0,67200000.0
The Boogeyman Collection,1,67192859.0,67192859.0
When a Stranger Calls Collection,1,66966987.0,66966987.0
Herbie Collection,1,66002004.0,66002004.0
Street Kings Collection,1,65569869.0,65569869.0
Hoodwinked! Collection,2,32287808.0,64575616.0
Space Chimps Collection,1,63800345.0,63800345.0
Elite Squad Collection,1,63027681.0,63027681.0
Honey Collection,1,62646763.0,62646763.0
Short Circuit Collection,2,31163924.5,62327849.0
Once Upon a Time in China Collection,3,20588898.666666668,61766696.0
Rurouni Kenshin Live-Action Collection,1,61700000.0,61700000.0
The Blue Lagoon collection,2,30830480.0,61660960.0
A Haunted House Collection,1,60141683.0,60141683.0
The Gods Must Be Crazy Collection,1,60000000.0,60000000.0
The Hustler Collection,2,29946991.0,59893982.0
[REC] Collection,4,14816420.0,59265680.0
Trainspotting Collection,2,28951894.5,57903789.0
Walking Tall Collection,1,57223890.0,57223890.0
Smokin' Aces Collection,1,57103895.0,57103895.0
Annie Collection,1,57059003.0,57059003.0
Lake Placid Collection,1,56870414.0,56870414.0
The Eye Collection,1,56309766.0,56309766.0
Pee-wee's Collection,2,28031331.0,56062662.0
Hellraiser Collection,4,13966180.75,55864723.0
Ирония судьбы (Коллекция),1,55635037.0,55635037.0
Open Water Collection,1,54667954.0,54667954.0
The Bad New Bears Collection,2,27213821.0,54427642.0
French Connection Collection,2,26821600.5,53643201.0
God's Not Dead Collection,2,26648283.5,53296567.0
Fanny Brice Collection,1,52223306.0,52223306.0
Blue Crush Collection,1,51842679.0,51842679.0
Ernest Collection,2,25855745.5,51711491.0
Carrie Collection,2,25781352.5,51562705.0
Darkman Collection,1,48878502.0,48878502.0
Tremors Collection,1,48572000.0,48572000.0
The Shadow Collection,1,48063435.0,48063435.0
Single White Female Collection,1,48017402.0,48017402.0
The Thing Collection,2,23879215.0,47758430.0
The Black Stallion Collection,2,23799821.5,47599643.0
Masti Collection,1,47000000.0,47000000.0
Mannequin Collection,2,23236811.0,46473622.0
Machete Collection,2,23168030.0,46336060.0
The Dirty Dozen Collection,1,45300000.0,45300000.0
Young Guns Collection,1,44726644.0,44726644.0
The Odd Couple Collection,1,44527234.0,44527234.0
Disneys Große Pause,1,44460850.0,44460850.0
Into the Blue Collection,1,44434439.0,44434439.0
National Lampoon’s Van Wilder Collection,2,22180995.5,44361991.0
Max (Collection),1,43967255.0,43967255.0
Heart of Gold Collection,3,14614137.333333334,43842412.0
Kokowääh Filmreihe,1,43000000.0,43000000.0
"Oh, God! Collection",1,41687243.0,41687243.0
Never Back Down Collection,1,41627431.0,41627431.0
Quarantine Collection,1,40855419.0,40855419.0
House on Haunted Hill Collection,1,40846082.0,40846082.0
The Vengeance Collection,3,13579416.666666666,40738250.0
Bill & Ted's Most Excellent Collection,1,40485039.0,40485039.0
The Jake Gittes Collection,2,20000000.0,40000000.0
Caddyshack Collection,1,39846344.0,39846344.0
Missing in Action Collection,3,13253919.666666666,39761759.0
Candyman Collection,2,19866346.5,39732693.0
Kvartet I Collection,4,9852297.75,39409191.0
Alpha and Omega Collection,1,39300000.0,39300000.0
Bachelor Party Collection,1,38435947.0,38435947.0
Happily N'Ever After Collection,1,38085778.0,38085778.0
Wolf Creek Collection,2,18696546.0,37393092.0
Joy Ride Collection,1,36642838.0,36642838.0
Welcome Collection,1,36500000.0,36500000.0
The Neverending Story Collection,2,18221237.5,36442475.0
Witch Mountain Collection,2,18196500.0,36393000.0
Navarone Collection,2,18065000.0,36130000.0
Billy Jack Collection,1,36000000.0,36000000.0
Demetrius Filmreihe,1,36000000.0,36000000.0
All Dogs Go to Heaven Collection,2,17860352.5,35720705.0
The Man With No Name Collection,3,11833333.333333334,35500000.0
A Goofy Movie Collection,1,35348597.0,35348597.0
Evil Dead Collection,2,17661522.0,35323044.0
Vacancy Collection,1,35300645.0,35300645.0
Creepshow Collection,2,17514377.5,35028755.0
The Skulls Collection,1,35007180.0,35007180.0
Ghoulies Collection,1,35000000.0,35000000.0
White Fang Collection,1,34793160.0,34793160.0
Viy Collection,1,34592118.0,34592118.0
The Lawnmower Man Collection,2,17255112.5,34510225.0
American Psycho Collection,1,34266564.0,34266564.0
Cirque du Soleil Collection,1,34153101.0,34153101.0
Rosemary's Baby Collection,1,33395426.0,33395426.0
Air Bud Collection,2,16684307.5,33368615.0
Blade Runner Collection,1,33139618.0,33139618.0
Always: Sunset on Third Street Collection,1,33053559.0,33053559.0
Dracula 2000 Collection,1,33000337.0,33000337.0
FernGully Collection,1,32710894.0,32710894.0
Homeward Bound Collection,1,32709423.0,32709423.0
Before... Collection,3,10901496.333333334,32704489.0
The Sandlot Collection,1,32416586.0,32416586.0
Prom Night Collection,3,10758663.666666666,32275991.0
Wong Kar-Wai's Informal Collection,3,10756043.0,32268129.0
Lost Boys Collection,1,32222567.0,32222567.0
Alien Nation Collection,1,32155047.0,32155047.0
East is East Collection,2,16033500.0,32067000.0
Barbie A Mermaid Tale Collection,2,15965372.5,31930745.0
20th Century Boys Collection,1,31244858.0,31244858.0
The Mesrine Collection,1,31055440.0,31055440.0
Joe Dirt Collection,1,30987695.0,30987695.0
The Cabin Fever Collection,1,30553394.0,30553394.0
The Lord of the Rings Animated Collection,1,30471420.0,30471420.0
The Protector Collection,2,15234022.0,30468044.0
Weekend at Bernie's Collection,1,30218387.0,30218387.0
The Art of War Collection,1,30199105.0,30199105.0
Road House Collection,1,30050028.0,30050028.0
Clerks Collection,2,15019753.0,30039506.0
Pulse Collection,1,29907685.0,29907685.0
The Fox and the Hound Collection,1,29800000.0,29800000.0
The Last Picture Show Collection,1,29133000.0,29133000.0
A Few Best Men Collection,2,14565655.5,29131311.0
Wrong Turn Collection,1,28650575.0,28650575.0
Super Size Me Collection,1,28575078.0,28575078.0
Scanners Collection,2,14225876.0,28451752.0
Slap Shot Collection,1,28000000.0,28000000.0
Fright Night Collection,2,13953010.5,27906021.0
Ivan Tsarevich & the Grey Wolf Collection,2,13862000.0,27724000.0
Dark Planet Collection,2,13854358.0,27708716.0
The Klapisch Trilogy,2,13812550.0,27625100.0
Goal! Collection,1,27610873.0,27610873.0
Ringu Collection,2,13688536.5,27377073.0
La cage aux folles,2,13687192.0,27374384.0
The Sinbad Collection,2,13500000.0,27000000.0
House Party Collection,1,26386000.0,26386000.0
From Dusk Till Dawn Collection,1,25836616.0,25836616.0
Mimic Collection,1,25480490.0,25480490.0
The Cutting Edge Collection,1,25105517.0,25105517.0
Grindhouse Collection,1,25037897.0,25037897.0
Singham Collection,1,25034000.0,25034000.0
Battle Royale Collection,1,25000000.0,25000000.0
The Hills Have Eyes (Original) Collection,1,25000000.0,25000000.0
Fright Night (Reboot) Collection,1,24922237.0,24922237.0
The Delta Force Collection,2,12233630.5,24467261.0
Three Heroes Collection,3,8069669.333333333,24209008.0
Return of the Living Dead Collection,3,7832377.0,23497131.0
Six Degrees of Celebration Collection,1,22772019.0,22772019.0
Revenge of the Nerds Collection,1,22642033.0,22642033.0
The Marine Collection,1,22165608.0,22165608.0
2 Days In... Collection,2,10714975.5,21429951.0
Stir of Echoes Collection,1,21133087.0,21133087.0
Children of the Corn Collection,2,10490493.0,20980986.0
The Man From Snowy River Collection,1,20659423.0,20659423.0
F/X Collection,1,20603715.0,20603715.0
Showgirls Collection,1,20350754.0,20350754.0
Tinker Bell Collection,1,20300000.0,20300000.0
Evangelion Collection,1,20000000.0,20000000.0
Shaolin Temple Collection,2,9856130.5,19712261.0
Shadow Boxing Collection,2,9717366.5,19434733.0
Love in the City Collection,2,9655275.0,19310550.0
A Christmas Story Collection,1,19294144.0,19294144.0
